	Energy (keV)	Breast Thickness (cm)	Compression-Distance(cm)	Kerma(mGy/hist)	Error(mGy/Hist)
907	34.75	10.0	0	1.205059433036193e-12	5.273964888081983e-15
908	34.75	11.0	0	1.252527434708095e-12	3.752819867194502e-15
909	35.25	2.0	0	8.940755001120008e-13	3.287242603897393e-15
910	35.25	3.0	0	9.206972126760149e-13	3.534778319607863e-15
911	35.25	4.0	0	9.498296338336443e-13	1.653945767100244e-15
912	35.25	5.0	0	9.872270219527623e-13	7.031156253700062e-16
913	35.25	6.0	0	1.018163766883675e-12	4.047509270521199e-15
914	35.25	7.0	0	1.055112719695505e-12	2.562845798968616e-15
915	35.25	8.0	0	1.090808963846558e-12	2.168847172950723e-15
916	35.25	9.0	0	1.131984320218235e-12	5.820290836651614e-15
917	35.25	10.0	0	1.174868757466078e-12	6.265336836759809e-16
918	35.25	11.0	0	1.216189623819472e-12	1.086875667948887e-15
919	35.75	2.0	0	8.709327989290228e-13	3.232168966430159e-15
920	35.75	3.0	0	8.995030224300207e-13	1.018864170822363e-15
921	35.75	4.0	0	9.285984046832133e-13	4.455557681182763e-15
922	35.75	5.0	0	9.620709917500361e-13	2.256851593860042e-15
923	35.75	6.0	0	9.955568069970156e-13	2.539385690991455e-15
924	35.75	7.0	0	1.028324332061525e-12	2.175463679599644e-15
925	35.75	8.0	0	1.065942630789248e-12	2.125186360086618e-15
926	35.75	9.0	0	1.104971053521605e-12	1.423873348522252e-15
927	35.75	10.0	0	1.146621301560885e-12	5.338753667135613e-15
928	35.75	11.0	0	1.187517543331272e-12	2.627958802419255e-15
929	36.25	2.0	0	8.524517084330303e-13	3.137741806949623e-15
930	36.25	3.0	0	8.80032464058357e-13	2.296401407175557e-15
931	36.25	4.0	0	9.085563889288085e-13	4.153531732468837e-15
932	36.25	5.0	0	9.409720444011656e-13	1.589663309755232e-15
933	36.25	6.0	0	9.70689151121691e-13	3.13879341019103e-15
934	36.25	7.0	0	1.006335128188153e-12	2.509451904009441e-15
935	36.25	8.0	0	1.040027303045563e-12	4.08910558260854e-15
936	36.25	9.0	0	1.077556972966243e-12	1.832634707773858e-15
937	36.25	10.0	0	1.118553748905817e-12	3.568329160798877e-15
938	36.25	11.0	0	1.161078379653415e-12	5.967773614287127e-15
939	36.75	2.0	0	8.312601638230669e-13	1.798121211929914e-15
940	36.75	3.0	0	8.604031675248211e-13	2.28145269220118e-15
941	36.75	4.0	0	8.865367602410777e-13	1.383557194304035e-15
942	36.75	5.0	0	9.18784417825453e-13	1.673852192008088e-15
943	36.75	6.0	0	9.523019807048068e-13	2.344891356996105e-15
944	36.75	7.0	0	9.84811556256271e-13	1.636871354334824e-15
945	36.75	8.0	0	1.018827821527507e-12	3.84029084053432e-15
946	36.75	9.0	0	1.05346184281203e-12	2.84371744653073e-15
947	36.75	10.0	0	1.094428193937248e-12	3.584368517374597e-15
948	36.75	11.0	0	1.135633975123282e-12	3.340372970586009e-15
949	37.25	2.0	0	8.136098030408737e-13	3.220695786051899e-15
950	37.25	3.0	0	8.397910172056917e-13	1.675145202654277e-15
951	37.25	4.0	0	8.659034448336994e-13	2.518632532871303e-15
952	37.25	5.0	0	8.970650688272638e-13	2.587464049255319e-15
953	37.25	6.0	0	9.295839041048373e-13	1.874701499991247e-15
954	37.25	7.0	0	9.626596457669798e-13	1.635122929896505e-15
955	37.25	8.0	0	9.92499774562957e-13	1.740622099159451e-15
956	37.25	9.0	0	1.033533589406968e-12	3.618085014419674e-15
957	37.25	10.0	0	1.068348836759627e-12	3.236997040297405e-15
958	37.25	11.0	0	1.109541389765513e-12	1.834209494278624e-15
959	37.75	2.0	0	7.933402625877857e-13	1.555168230692093e-15
960	37.75	3.0	0	8.222187026864192e-13	1.310737556370513e-15
961	37.75	4.0	0	8.474805583303932e-13	2.676544788855957e-15
962	37.75	5.0	0	8.792374504309798e-13	2.838537736355124e-15
963	37.75	6.0	0	9.117721595247403e-13	5.102799143306578e-15
964	37.75	7.0	0	9.378766502446533e-13	2.267001348736368e-15
965	37.75	8.0	0	9.725635842498009e-13	4.212845942905674e-15
966	37.75	9.0	0	1.010464966032865e-12	3.070130761386084e-15
967	37.75	10.0	0	1.04861503760286e-12	9.421770735760573e-16
968	37.75	11.0	0	1.08383109881425e-12	4.123854135119009e-15
969	38.25	2.0	0	7.779492749762422e-13	3.976810162556222e-15
970	38.25	3.0	0	8.040154039737037e-13	3.088669121459442e-15
971	38.25	4.0	0	8.303646160265037e-13	2.129139325208394e-15
972	38.25	5.0	0	8.619111800626091e-13	2.409990975066068e-15
973	38.25	6.0	0	8.887180871488081e-13	2.814580007239839e-15
974	38.25	7.0	0	9.190145881601674e-13	3.052386829954733e-15
975	38.25	8.0	0	9.505664434683355e-13	3.815025503945961e-15
976	38.25	9.0	0	9.860325172846728e-13	3.703818317908894e-15
977	38.25	10.0	0	1.023234128337483e-12	1.897934862433648e-15
978	38.25	11.0	0	1.059651308307038e-12	1.133098454789576e-15
979	38.75	2.0	0	7.609867795621627e-13	3.288678830036638e-15
980	38.75	3.0	0	7.872156151755429e-13	3.99155873818749e-15
981	38.75	4.0	0	8.129272289448223e-13	1.96178267539698e-15
982	38.75	5.0	0	8.432951621290247e-13	3.582776994978528e-15
983	38.75	6.0	0	8.69064979890991e-13	5.08444166664567e-15
984	38.75	7.0	0	9.028259412852158e-13	1.677316551992212e-15
985	38.75	8.0	0	9.334531468004765e-13	1.625436376798739e-15
986	38.75	9.0	0	9.698134455953618e-13	3.915065797860997e-15
987	38.75	10.0	0	1.004005645662673e-12	3.99241467012235e-15
988	38.75	11.0	0	1.039126463976938e-12	5.771321849590826e-15
989	39.25	2.0	0	7.46807493252912e-13	3.693539101207363e-15
990	39.25	3.0	0	7.722757085073205e-13	2.034044518085651e-15
991	39.25	4.0	0	7.972835830922987e-13	1.300498086059568e-15
992	39.25	5.0	0	8.302138147727247e-13	5.687481658556833e-16
993	39.25	6.0	0	8.524569997050928e-13	3.273085195608309e-15
994	39.25	7.0	0	8.861094900220383e-13	3.685206387323632e-15
995	39.25	8.0	0	9.136809859212557e-13	5.662318768756821e-15
996	39.25	9.0	0	9.474922144000735e-13	4.299294493551107e-15
997	39.25	10.0	0	9.82550860267605e-13	3.506742739324856e-15
998	39.25	11.0	0	1.017228534546645e-12	1.648877312822852e-15
999	39.75	2.0	0	7.334629051115068e-13	1.944974975334834e-15
1000	39.75	3.0	0	7.575448070855633e-13	1.36694068133084e-15
1001	39.75	4.0	0	7.81785447221492e-13	3.68201826413555e-15
1002	39.75	5.0	0	8.086095509418935e-13	2.605350221849036e-15
1003	39.75	6.0	0	8.38351791204716e-13	4.111173112616893e-15
1004	39.75	7.0	0	8.659365152840893e-13	3.009456048191232e-15
1005	39.75	8.0	0	8.998429866600305e-13	3.08560073992575e-15
1006	39.75	9.0	0	9.318789933619092e-13	2.052883433529409e-15
1007	39.75	10.0	0	9.658740935448955e-13	4.123067930490385e-15
1008	39.75	11.0	0	1.001595471238246e-12	2.300728005688871e-15
1009	40.25	2.0	0	7.183417723751468e-13	1.473042848138192e-15
1010	40.25	3.0	0	7.428496217502273e-13	5.420304996246797e-16
1011	40.25	4.0	0	7.691578264445436e-13	1.309512334724784e-15
1012	40.25	5.0	0	7.916430870737667e-13	1.014830485103125e-15
1013	40.25	6.0	0	8.204474493635263e-13	2.790206298682742e-15
1014	40.25	7.0	0	8.492822364676453e-13	3.416622554779671e-15
1015	40.25	8.0	0	8.782135892869028e-13	1.384379877343613e-15
1016	40.25	9.0	0	9.14617541076303e-13	2.177258262244851e-15
1017	40.25	10.0	0	9.457923932500234e-13	3.29962858922484e-15
1018	40.25	11.0	0	9.799462315948825e-13	2.085765934043644e-15
1019	40.75	2.0	0	7.055421852561701e-13	2.492922528120311e-15
1020	40.75	3.0	0	7.30948228063845e-13	1.316760632192352e-15
1021	40.75	4.0	0	7.548819744201541e-13	1.345374640747315e-15
1022	40.75	5.0	0	7.811359435758305e-13	1.680867467420361e-15
1023	40.75	6.0	0	8.057668150263621e-13	3.481684826960282e-15
1024	40.75	7.0	0	8.341968198177062e-13	1.916659989950561e-15
1025	40.75	8.0	0	8.61773606988986e-13	3.255495718332549e-15
1026	40.75	9.0	0	8.930886778723608e-13	2.469043753586717e-15
1027	40.75	10.0	0	9.290190608121746e-13	2.315266113092387e-15
1028	40.75	11.0	0	9.644891030825588e-13	3.171449686362454e-15
1029	41.25	2.0	0	6.957493634866595e-13	8.046677814412269e-16
1030	41.25	3.0	0	7.152410869465728e-13	3.895199018113919e-15
1031	41.25	4.0	0	7.396021035219216e-13	3.204724422333577e-15
1032	41.25	5.0	0	7.667913050146292e-13	1.588459349551348e-15
1033	41.25	6.0	0	7.937622415347628e-13	1.984528015164121e-15
1034	41.25	7.0	0	8.203601433744964e-13	2.840092025183855e-15
1035	41.25	8.0	0	8.46911746583684e-13	1.561396768083093e-15
1036	41.25	9.0	0	8.76918550449627e-13	1.359602112152667e-15
1037	41.25	10.0	0	9.108250218255682e-13	2.814271623072663e-15
1038	41.25	11.0	0	9.476244962016336e-13	1.445198710845687e-15
1039	41.75	2.0	0	6.802604873419618e-13	2.069017624205243e-15
1040	41.75	3.0	0	7.034230307951737e-13	2.635384170835867e-15
1041	41.75	4.0	0	7.262482556544067e-13	5.502989085412639e-15
1042	41.75	5.0	0	7.516741407323162e-13	3.03556847221282e-15
1043	41.75	6.0	0	7.781953191271448e-13	1.977612490912551e-15
1044	41.75	7.0	0	8.054400789765082e-13	3.76039975612565e-15
1045	41.75	8.0	0	8.38858430504692e-13	5.042395115697399e-15
1046	41.75	9.0	0	8.625567152542233e-13	2.141987274431134e-15
1047	41.75	10.0	0	8.950027955409384e-13	2.477901445117479e-15
1048	41.75	11.0	0	9.312480091684662e-13	5.404911171797601e-15
1049	42.25	2.0	0	6.683061809349555e-13	2.104350274694005e-15
1050	42.25	3.0	0	6.923761775468715e-13	5.841389416394652e-15
1051	42.25	4.0	0	7.165123150595673e-13	3.354880691009092e-15
1052	42.25	5.0	0	7.39283304380161e-13	3.577229951191864e-15
1053	42.25	6.0	0	7.659261820324248e-13	3.352808672661794e-15
1054	42.25	7.0	0	7.922502605429288e-13	1.14785546773108e-15
1055	42.25	8.0	0	8.199130308852231e-13	2.120976887222205e-15
1056	42.25	9.0	0	8.502254057127703e-13	6.289249837161078e-15
1057	42.25	10.0	0	8.81966423997169e-13	3.262466870160451e-15
1058	42.25	11.0	0	9.15530285507069e-13	1.918986643866657e-15
1059	42.75	2.0	0	6.61883899469202e-13	4.04965074014108e-15
1060	42.75	3.0	0	6.819788279442303e-13	1.197718518155006e-15
1061	42.75	4.0	0	7.024534051897365e-13	1.061239770319058e-15
1062	42.75	5.0	0	7.276200179365875e-13	1.462545469846958e-15
1063	42.75	6.0	0	7.551531521133527e-13	3.001662282058093e-15
1064	42.75	7.0	0	7.799374704536941e-13	3.351823171246856e-15
1065	42.75	8.0	0	8.072629222020095e-13	2.163852108096675e-15
1066	42.75	9.0	0	8.352854990445475e-13	3.467173732116303e-15
1067	42.75	10.0	0	8.674207170975962e-13	1.422636502923284e-15
1068	42.75	11.0	0	9.01698900335922e-13	2.117895125175619e-15
1069	43.25	2.0	0	6.49299931686769e-13	1.509892706880938e-15
1070	43.25	3.0	0	6.718605929428812e-13	1.360295215169274e-15
1071	43.25	4.0	0	6.939119692629867e-13	4.9460187420404e-16
1072	43.25	5.0	0	7.159606999470608e-13	1.333760086790036e-15
1073	43.25	6.0	0	7.424144146230938e-13	2.005372914994928e-15
1074	43.25	7.0	0	7.639617972792545e-13	1.906863161025665e-15
1075	43.25	8.0	0	7.949421952046813e-13	3.032068183117182e-15
1076	43.25	9.0	0	8.235904649685995e-13	3.312990963813942e-15
1077	43.25	10.0	0	8.536012372885897e-13	2.245667645010853e-15
1078	43.25	11.0	0	8.85100179876133e-13	2.37322056027791e-16
1079	43.75	2.0	0	6.401023780242798e-13	3.277384970232653e-15
1080	43.75	3.0	0	6.598454369071572e-13	3.281608370241227e-15
1081	43.75	4.0	0	6.808054883643902e-13	2.116104775729239e-15
1082	43.75	5.0	0	7.032378362729895e-13	2.524771832049314e-15
1083	43.75	6.0	0	7.284705899206203e-13	4.036545885470493e-15
1084	43.75	7.0	0	7.561849501655227e-13	2.992544940069237e-15
1085	43.75	8.0	0	7.816055439713699e-13	4.62592971670359e-15
1086	43.75	9.0	0	8.12902095402526e-13	1.002723977718715e-15
1087	43.75	10.0	0	8.418810696703453e-13	1.786552128258829e-15
1088	43.75	11.0	0	8.72760933426586e-13	3.645829801466866e-15
1089	44.25	2.0	0	6.292552702963335e-13	3.284172198379501e-15
1090	44.25	3.0	0	6.502563291120499e-13	2.765614415680573e-15
1091	44.25	4.0	0	6.71032508865114e-13	2.377245428666474e-15
1092	44.25	5.0	0	6.933629997865114e-13	1.38436639467779e-15
1093	44.25	6.0	0	7.18866931127341e-13	4.880385121697617e-15
1094	44.25	7.0	0	7.439859224256303e-13	1.125092300147e-15
1095	44.25	8.0	0	7.705507538149738e-13	2.113624770239158e-15
1096	44.25	9.0	0	7.965877808160915e-13	4.852356133219592e-15
1097	44.25	10.0	0	8.282441387474917e-13	2.954291067329507e-15
1098	44.25	11.0	0	8.590155314264536e-13	1.171108652275583e-15
1099	44.75	2.0	0	6.219427323060791e-13	1.805662258305892e-15
1100	44.75	3.0	0	6.421487774944183e-13	3.600401222482373e-15
1101	44.75	4.0	0	6.629395082456534e-13	3.574335219475695e-15
1102	44.75	5.0	0	6.840847542250707e-13	9.102269657500982e-16
1103	44.75	6.0	0	7.097553606358662e-13	3.422699187275837e-15
1104	44.75	7.0	0	7.32605719037396e-13	2.085349774712877e-15
1105	44.75	8.0	0	7.604483926298122e-13	2.508541061423189e-15
1106	44.75	9.0	0	7.884498043841008e-13	1.190379425287182e-15
1107	44.75	10.0	0	8.154882046230303e-13	2.635288998372412e-15
1108	44.75	11.0	0	8.47935607727761e-13	3.087170076624801e-15
1109	45.25	2.0	0	6.11581098789859e-13	2.578773698007815e-15
1110	45.25	3.0	0	6.349275139472401e-13	1.393453425205659e-15
1111	45.25	4.0	0	6.542657905173432e-13	1.757376885520968e-15
1112	45.25	5.0	0	6.778370847373765e-13	2.371081830168184e-15
1113	45.25	6.0	0	6.98193931179494e-13	4.374793107864353e-15
1114	45.25	7.0	0	7.219358689235405e-13	3.669231711933915e-15
1115	45.25	8.0	0	7.480932723640782e-13	4.111055068935616e-15
1116	45.25	9.0	0	7.765960321462806e-13	2.298692346846721e-15
1117	45.25	10.0	0	8.02396274722605e-13	1.457527768157076e-15
1118	45.25	11.0	0	8.359680731405988e-13	2.062496855058356e-15
1119	45.75	2.0	0	6.050609287909508e-13	3.136385242413128e-15
1120	45.75	3.0	0	6.24633344149816e-13	3.933038211856736e-15
1121	45.75	4.0	0	6.443525923084125e-13	4.042819264040783e-15
1122	45.75	5.0	0	6.664052914465339e-13	4.146247394313779e-15
1123	45.75	6.0	0	6.920679609492358e-13	1.661163803428796e-15
1124	45.75	7.0	0	7.15251669490698e-13	2.045861407803805e-15
1125	45.75	8.0	0	7.379287387321832e-13	3.336077449432312e-15
1126	45.75	9.0	0	7.645597110223069e-13	4.110262726499927e-15
1127	45.75	10.0	0	7.961247945106305e-13	2.560042611779301e-15
1128	45.75	11.0	0	8.231248330271073e-13	2.683074534335851e-15
1129	46.25	2.0	0	5.962218588106905e-13	2.618655390541816e-15
1130	46.25	3.0	0	6.168763393063187e-13	2.785794440811292e-15
1131	46.25	4.0	0	6.379858691993145e-13	4.621736339309953e-15
1132	46.25	5.0	0	6.576799838156152e-13	1.211538586676846e-15
1133	46.25	6.0	0	6.803345651508356e-13	4.956573980155632e-16
1134	46.25	7.0	0	7.076904417135096e-13	2.946427399580368e-15
1135	46.25	8.0	0	7.292047539192802e-13	2.882347707172835e-15
1136	46.25	9.0	0	7.541729439637905e-13	2.39482724140193e-15
1137	46.25	10.0	0	7.84134772017203e-13	3.095663984551479e-15
1138	46.25	11.0	0	8.113424929621297e-13	2.073778164893751e-15
1139	46.75	2.0	0	5.877134933343306e-13	2.218561557458268e-15
1140	46.75	3.0	0	6.078084218093585e-13	3.549953295371153e-15
1141	46.75	4.0	0	6.279893334554015e-13	1.000064417772085e-15
1142	46.75	5.0	0	6.488819211938385e-13	2.249885964335788e-15
1143	46.75	6.0	0	6.715193058948558e-13	1.056227457379777e-15
1144	46.75	7.0	0	6.959649828232033e-13	2.736521827605388e-15
1145	46.75	8.0	0	7.209212675055731e-13	3.805900768019608e-15
1146	46.75	9.0	0	7.465125048354325e-13	3.148232398265239e-15
1147	46.75	10.0	0	7.727836706253119e-13	2.428589643652011e-15
1148	46.75	11.0	0	8.025946974249458e-13	3.884534629502322e-15
1149	47.25	2.0	0	5.820386040473927e-13	3.382245711155052e-15
1150	47.25	3.0	0	5.995540373919949e-13	3.114880378308622e-15
1151	47.25	4.0	0	6.199452771025182e-13	4.137335763695017e-15
1152	47.25	5.0	0	6.430324199288407e-13	3.865828620429703e-15
1153	47.25	6.0	0	6.623191065963358e-13	6.95850895196268e-16
1154	47.25	7.0	0	6.891418874987214e-13	3.254510500475189e-15
1155	47.25	8.0	0	7.15116742053106e-13	2.025612356337463e-15
1156	47.25	9.0	0	7.380887997120712e-13	2.835912453803874e-15
1157	47.25	10.0	0	7.648375028055833e-13	1.727884585943915e-15
1158	47.25	11.0	0	7.934659302992683e-13	3.494506322675819e-15
1159	47.75	2.0	0	5.743305434704733e-13	1.614592459508575e-15
1160	47.75	3.0	0	5.950194172345071e-13	2.106369389337395e-15
1161	47.75	4.0	0	6.140666738411772e-13	1.303317932035053e-15
1162	47.75	5.0	0	6.331946223467997e-13	3.302755268120464e-15
1163	47.75	6.0	0	6.573188544973552e-13	4.497477501423414e-16
1164	47.75	7.0	0	6.797485567699232e-13	2.925523221305886e-15
1165	47.75	8.0	0	7.0242827164744e-13	3.175798908515241e-15
1166	47.75	9.0	0	7.301373406202804e-13	3.461120244045046e-15
1167	47.75	10.0	0	7.55755034310452e-13	1.61143053400654e-15
1168	47.75	11.0	0	7.857393502701296e-13	3.090203679726106e-15
1169	48.25	2.0	0	5.697919548589385e-13	2.117462692514583e-15
1170	48.25	3.0	0	5.855903704192875e-13	9.627498234917014e-16
1171	48.25	4.0	0	6.065371936963642e-13	1.788895406899467e-15
1172	48.25	5.0	0	6.266030201750489e-13	4.750030070856844e-15
1173	48.25	6.0	0	6.492377592400355e-13	2.519473053357214e-15
1174	48.25	7.0	0	6.736358147198207e-13	2.18657563259987e-15
1175	48.25	8.0	0	6.959424949169378e-13	1.414004391813105e-15
1176	48.25	9.0	0	7.223657847786115e-13	2.778421297873369e-15
1177	48.25	10.0	0	7.473247150970127e-13	1.81209588487512e-15
1178	48.25	11.0	0	7.75400204660175e-13	3.876379256094382e-15
1179	48.75	2.0	0	5.657269350969897e-13	1.080793319707606e-15
1180	48.75	3.0	0	5.818362128910057e-13	1.596576499495968e-15
1181	48.75	4.0	0	6.001294632287822e-13	2.864520186757967e-15
1182	48.75	5.0	0	6.197098154957408e-13	7.705949537638495e-16
1183	48.75	6.0	0	6.414265188578984e-13	3.111203480902378e-15
1184	48.75	7.0	0	6.656407026335149e-13	3.586239743656379e-15
1185	48.75	8.0	0	6.925058137124003e-13	3.059389530030546e-15
1186	48.75	9.0	0	7.133838504526657e-13	3.532735204792261e-15
1187	48.75	10.0	0	7.440573545984728e-13	4.023727130822742e-15
1188	48.75	11.0	0	7.696790167426913e-13	1.693730594499035e-15
1189	8.5	2.5	0	2.963704977422163e-12	3.154530198655376e-15
1190	8.5	3.5	0	3.093185050425433e-12	2.3610558753993e-15
1191	8.5	4.5	0	3.223211447269152e-12	5.684104323766706e-15
1192	8.5	5.5	0	3.366731910690035e-12	3.786886131296084e-15
1193	8.5	6.5	0	3.520908996044617e-12	5.656033036134089e-15
1194	8.5	7.5	0	3.679234438696135e-12	2.205914230930628e-15
1195	8.5	8.5	0	3.838652529028537e-12	6.046814187466747e-15
1196	8.5	9.5	0	4.01434524940691e-12	2.911171142126675e-15
1197	8.5	10.5	0	4.202529340306622e-12	4.18382725584516e-15
1198	9.5	2.5	0	3.959039550992553e-12	1.365048208010007e-15
1199	9.5	3.5	0	4.118017142925763e-12	2.692604221247931e-15
1200	9.5	4.5	0	4.284595647176629e-12	8.254823507778931e-15
1201	9.5	5.5	0	4.461683940561462e-12	8.715409225381249e-15
1202	9.5	6.5	0	4.643763226319162e-12	4.247840330001104e-15
1203	9.5	7.5	0	4.841072115890503e-12	7.419596826889233e-15
1204	9.5	8.5	0	5.050245360243793e-12	3.824903835650299e-15
1205	9.5	9.5	0	5.266946761923875e-12	6.33435528622677e-15
1206	9.5	10.5	0	5.506044795426137e-12	3.145229914267735e-15
1207	10.5	2.5	0	4.499909412758345e-12	6.782923738367047e-15
1208	10.5	3.5	0	4.675222484366241e-12	4.955768051839688e-15
1209	10.5	4.5	0	4.850493225797628e-12	4.877504421916646e-15
1210	10.5	5.5	0	5.046102294218923e-12	6.248700890655676e-15
1211	10.5	6.5	0	5.247027768244923e-12	6.442801678503559e-15
1212	10.5	7.5	0	5.461227721057505e-12	7.978073263108184e-15
1213	10.5	8.5	0	5.688540768858758e-12	7.901436096166527e-15
1214	10.5	9.5	0	5.926224709902343e-12	5.380992156822906e-15
1215	10.5	10.5	0	6.171766189958605e-12	7.128700528557105e-15
1216	11.5	2.5	0	4.677962040476553e-12	3.586312607694119e-15
1217	11.5	3.5	0	4.85110701335687e-12	7.850786918897152e-15
1218	11.5	4.5	0	5.032594999461597e-12	2.777397055586143e-15
1219	11.5	5.5	0	5.21879354051989e-12	7.798392507559946e-15
1220	11.5	6.5	0	5.429228753260063e-12	8.755882898963568e-15
1221	11.5	7.5	0	5.62582596673901e-12	3.211988101030618e-15
1222	11.5	8.5	0	5.86565287296787e-12	1.297619971402847e-14
1223	11.5	9.5	0	6.092939464408812e-12	7.867272250535368e-15
1224	11.5	10.5	0	6.344327800094046e-12	3.309865847741127e-15
1225	12.5	2.5	0	4.60168570806084e-12	2.35396943310162e-15
1226	12.5	3.5	0	4.767986420528428e-12	7.293192749613224e-15
1227	12.5	4.5	0	4.942755813931905e-12	3.361382004311937e-15
1228	12.5	5.5	0	5.126485976573085e-12	1.005674801153534e-14
1229	12.5	6.5	0	5.317225751878938e-12	7.531285207847307e-15
1230	12.5	7.5	0	5.522011208874473e-12	5.214051278647841e-15
1231	12.5	8.5	0	5.736069620159382e-12	8.463540869249056e-15
1232	12.5	9.5	0	5.965816653109343e-12	3.076644557958948e-15
1233	12.5	10.5	0	6.207614558181453e-12	4.51859350728503e-15
1234	13.5	2.5	0	4.389554642624662e-12	5.657302783773304e-15
1235	13.5	3.5	0	4.54510878153349e-12	7.078302665524575e-15
1236	13.5	4.5	0	4.704726617386253e-12	3.760722374900126e-15
1237	13.5	5.5	0	4.875749790169542e-12	7.819292801908167e-15
1238	13.5	6.5	0	5.059618848702355e-12	1.474790420196935e-15
1239	13.5	7.5	0	5.250324230739808e-12	2.91598342043503e-15
1240	13.5	8.5	0	5.45159760590391e-12	3.370945915852429e-15
1241	13.5	9.5	0	5.667732841473317e-12	7.42494189598689e-15
1242	13.5	10.5	0	5.88799526925141e-12	4.10997095163029e-16
1243	14.5	2.5	0	4.111553854101525e-12	3.108970940647887e-15
1244	14.5	3.5	0	4.245457430548975e-12	9.590299850925605e-16
1245	14.5	4.5	0	4.402210042579943e-12	3.536249594619604e-15
1246	14.5	5.5	0	4.559047314963903e-12	8.457076735541919e-15
1247	14.5	6.5	0	4.725108597370665e-12	6.528256878263768e-15
1248	14.5	7.5	0	4.902236575295967e-12	1.027167976170507e-14
1249	14.5	8.5	0	5.087556765191895e-12	4.630614606210474e-15
1250	14.5	9.5	0	5.28635514784881e-12	4.261438612924625e-15
1251	14.5	10.5	0	5.493200232494633e-12	3.501946777986511e-15
1252	15.5	2.5	0	3.7980658266738e-12	5.593154686669035e-15
1253	15.5	3.5	0	3.934562126431832e-12	2.657846126634688e-15
1254	15.5	4.5	0	4.065937797651466e-12	5.007367390260646e-15
1255	15.5	5.5	0	4.214524654072107e-12	6.461714210061047e-15
1256	15.5	6.5	0	4.368304894022015e-12	3.580141567155179e-15
1257	15.5	7.5	0	4.52418709179871e-12	3.865556722182839e-15
1258	15.5	8.5	0	4.697247404326032e-12	5.525295838389122e-15
1259	15.5	9.5	0	4.877313361063985e-12	2.617860529226461e-15
1260	15.5	10.5	0	5.0637090020066e-12	4.826609654931534e-15
1261	16.5	2.5	0	3.494124576864685e-12	6.858452569589351e-15
1262	16.5	3.5	0	3.61821813490842e-12	2.899257798937379e-15
1263	16.5	4.5	0	3.73657330840047e-12	2.654103947706153e-15
1264	16.5	5.5	0	3.870269202419473e-12	4.116924771097166e-15
1265	16.5	6.5	0	4.008362143522335e-12	3.81865249132731e-15
1266	16.5	7.5	0	4.154607612055363e-12	3.356636574096021e-15
1267	16.5	8.5	0	4.309846920276477e-12	7.570510501758424e-15
1268	16.5	9.5	0	4.476594745233338e-12	5.082140110297107e-15
1269	16.5	10.5	0	4.647504155667291e-12	5.28881634231619e-15
1270	17.5	2.5	0	3.20282814446672e-12	7.785830704735763e-15
1271	17.5	3.5	0	3.312659078666222e-12	5.78957213479903e-15
1272	17.5	4.5	0	3.429348824276625e-12	3.150528945987499e-15
1273	17.5	5.5	0	3.546919566685423e-12	2.558492824325136e-15
1274	17.5	6.5	0	3.67435324021856e-12	5.862521507524675e-15
1275	17.5	7.5	0	3.811533436890657e-12	4.507206256775491e-15
1276	17.5	8.5	0	3.946684430726823e-12	6.280720435684308e-15
1277	17.5	9.5	0	4.100155131261074e-12	7.715299305770137e-15
1278	17.5	10.5	0	4.256659053505105e-12	5.298708129564884e-15
1279	18.5	2.5	0	2.933927021072917e-12	1.355656361467592e-15
1280	18.5	3.5	0	3.033184670873702e-12	3.115227907524936e-15
1281	18.5	4.5	0	3.132328558325145e-12	4.672434667871625e-15
1282	18.5	5.5	0	3.246412352444813e-12	4.04610627038007e-15
1283	18.5	6.5	0	3.361546464068868e-12	3.604987251446519e-15
1284	18.5	7.5	0	3.481526058084083e-12	5.253886567335835e-15
1285	18.5	8.5	0	3.612035283503493e-12	1.481898653275069e-15
1286	18.5	9.5	0	3.748749848234101e-12	4.831538914135926e-15
1287	18.5	10.5	0	3.88998845057807e-12	7.006266793312043e-15
1288	19.5	2.5	0	2.68918320028006e-12	3.694654477392016e-15
1289	19.5	3.5	0	2.775040703582785e-12	3.237945434541037e-15
1290	19.5	4.5	0	2.869220055021667e-12	2.894402800126053e-15
1291	19.5	5.5	0	2.969931481821606e-12	4.78692852182309e-15
1292	19.5	6.5	0	3.082663355929322e-12	1.349118741289018e-15
1293	19.5	7.5	0	3.193956004036067e-12	2.059677634140042e-15
1294	19.5	8.5	0	3.305369028582235e-12	2.852993102694607e-15
1295	19.5	9.5	0	3.432158489741767e-12	5.531495198228919e-15
1296	19.5	10.5	0	3.561614752020758e-12	6.052454147211661e-15
1297	20.5	2.5	0	2.463248528851063e-12	3.77131124372984e-15
1298	20.5	3.5	0	2.549246250863442e-12	4.250735817637837e-15
1299	20.5	4.5	0	2.630956719687253e-12	2.559329370295323e-15
1300	20.5	5.5	0	2.729063517814465e-12	4.425218344692017e-15
1301	20.5	6.5	0	2.823857979630602e-12	5.639435968590056e-15
1302	20.5	7.5	0	2.922862971190412e-12	5.643001081433445e-15
1303	20.5	8.5	0	3.030253306151125e-12	1.586340660571026e-15
1304	20.5	9.5	0	3.140577651470447e-12	3.816924241610894e-15
1305	20.5	10.5	0	3.262522953056845e-12	4.418167549885885e-15
1306	21.5	2.5	0	2.262252945470235e-12	4.198099778199613e-15
1307	21.5	3.5	0	2.337157515603765e-12	3.41023613280164e-15
