	Energy (keV)	Breast Thickness (cm)	Compression-Distance(cm)	Kerma(mGy/hist)	Error(mGy/Hist)
92	18.0	4.25	0	3.248442878098765e-12	3.232282655260923e-15
93	18.0	5.75	0	3.42499146173323e-12	3.950345683421052e-15
94	18.0	6.25	0	3.483210005417942e-12	2.798105848961646e-15
95	18.0	7.75	0	3.673486794418337e-12	6.707326888080863e-15
96	18.0	8.25	0	3.745032729610255e-12	5.940760244252189e-15
97	18.0	9.75	0	3.95398638617295e-12	8.602657426839073e-15
98	18.0	10.25	0	4.029326163433615e-12	3.002268498706714e-15
99	19.0	2.25	0	2.785452604183595e-12	5.84150524517211e-15
100	19.0	3.75	0	2.928110590258308e-12	3.11059899280225e-15
101	19.0	4.25	0	2.973307313397423e-12	5.20748522479956e-15
102	19.0	5.75	0	3.131280886456788e-12	2.136749814590197e-15
103	19.0	6.25	0	3.190061627798132e-12	3.633460121571596e-15
104	19.0	7.75	0	3.363682815164067e-12	4.301761882392876e-15
105	19.0	8.25	0	3.429150401574285e-12	2.791239632596223e-15
106	19.0	9.75	0	3.614634620904153e-12	1.566493582714662e-15
107	19.0	10.25	0	3.68597816493968e-12	4.04412071421477e-15
108	20.0	2.25	0	2.555471432444873e-12	7.207855112913918e-15
109	20.0	3.75	0	2.683178929307235e-12	5.069278661284496e-15
110	20.0	4.25	0	2.728226174010588e-12	2.942573318093033e-15
111	20.0	5.75	0	2.872064113755218e-12	6.900749785151057e-15
112	20.0	6.25	0	2.922963505359598e-12	7.914139869372495e-15
113	20.0	7.75	0	3.078295410841803e-12	3.238721023178729e-15
114	20.0	8.25	0	3.134861754825028e-12	3.879379388846994e-15
115	20.0	9.75	0	3.31674261788039e-12	2.373383258932743e-15
116	20.0	10.25	0	3.377774795484287e-12	6.165780448036887e-15
117	21.0	2.25	0	2.340643141074883e-12	4.764498645568816e-15
118	21.0	3.75	0	2.459490402868733e-12	5.153824614225995e-15
119	21.0	4.25	0	2.500032129410942e-12	8.99299528755379e-15
120	21.0	5.75	0	2.634664578584987e-12	4.664244567954582e-15
121	21.0	6.25	0	2.685890706239222e-12	3.658820256807277e-15
122	21.0	7.75	0	2.824232337129023e-12	9.920117729617861e-15
123	21.0	8.25	0	2.87922981894574e-12	4.243606791647646e-15
124	21.0	9.75	0	3.042841242387605e-12	3.774387165405415e-15
125	21.0	10.25	0	3.09749082306622e-12	3.070522867881172e-15
126	22.0	2.25	0	2.15227914692505e-12	2.379964432685234e-15
127	22.0	3.75	0	2.262389195725842e-12	5.892378877790501e-15
128	22.0	4.25	0	2.303214005323388e-12	1.006589472066495e-15
129	22.0	5.75	0	2.420887927537403e-12	8.918828455402107e-16
130	22.0	6.25	0	2.458864709947355e-12	4.836263188839092e-15
131	22.0	7.75	0	2.59440593509812e-12	4.009757948219617e-15
